File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF128VPS	fastq	reads	ENCSR619EYC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RFX5-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF013UJU		2204768802	Michael Snyder, Stanford	706fd87925aebaf5d720551a5f8b0ace		https://www.encodeproject.org/files/ENCFF128VPS/@@download/ENCFF128VPS.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF086NJJ	fastq	reads	ENCSR619EYC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RFX5-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF487MPS		2002614052	Michael Snyder, Stanford	9e2e1a9acb1e36a332e6a198e70accb9		https://www.encodeproject.org/files/ENCFF086NJJ/@@download/ENCFF086NJJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF013UJU	fastq	reads	ENCSR619EYC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RFX5-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF128VPS		2436686959	Michael Snyder, Stanford	3201f3fd96d0bb6867c9eef688850505		https://www.encodeproject.org/files/ENCFF013UJU/@@download/ENCFF013UJU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF657GYC	fastq	reads	ENCSR073QLQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ILF2-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF807WUA		2668259601	Michael Snyder, Stanford	2bab3c523f21ca8ae9b8b6ce93ad0373		https://www.encodeproject.org/files/ENCFF657GYC/@@download/ENCFF657GYC.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF470VXU	fastq	reads	ENCSR073QLQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ILF2-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF605ANI		2727243739	Michael Snyder, Stanford	9e92e5bca0587bcb473d4a0fd9274e59		https://www.encodeproject.org/files/ENCFF470VXU/@@download/ENCFF470VXU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF807WUA	fastq	reads	ENCSR073QLQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ILF2-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF657GYC		2566191511	Michael Snyder, Stanford	359d6cc748cea4068ea515a8d1f439bc		https://www.encodeproject.org/files/ENCFF807WUA/@@download/ENCFF807WUA.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF605ANI	fastq	reads	ENCSR073QLQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ILF2-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF470VXU		2389812642	Michael Snyder, Stanford	ffa18cefb747f2dedb94a3bbfca38e5b		https://www.encodeproject.org/files/ENCFF605ANI/@@download/ENCFF605ANI.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF911DGQ	fastq	reads	ENCSR898UNK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID3A-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF747YIC		2813498872	Michael Snyder, Stanford	c682707e7b7512972dd854137fc83ee0		https://www.encodeproject.org/files/ENCFF911DGQ/@@download/ENCFF911DGQ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF724FVA	fastq	reads	ENCSR898UNK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID3A-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF815JOK		2935494997	Michael Snyder, Stanford	cac67d96c9c257dd67764e4143ab472d		https://www.encodeproject.org/files/ENCFF724FVA/@@download/ENCFF724FVA.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF815JOK	fastq	reads	ENCSR898UNK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID3A-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF724FVA		2565991558	Michael Snyder, Stanford	5f39abae145c4c78ba90b3a90d584fa3		https://www.encodeproject.org/files/ENCFF815JOK/@@download/ENCFF815JOK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF747YIC	fastq	reads	ENCSR898UNK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID3A-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF911DGQ		3003784912	Michael Snyder, Stanford	3d71d8e26acf4e43accc253db2fad88b		https://www.encodeproject.org/files/ENCFF747YIC/@@download/ENCFF747YIC.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF418ETD	fastq	reads	ENCSR369BHC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC8-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF171RLM		2644008537	Michael Snyder, Stanford	638d77528914eb7f335119e764963330		https://www.encodeproject.org/files/ENCFF418ETD/@@download/ENCFF418ETD.fastq.gz		Illumina HiSeq 4000	/files/ENCFF883YZS/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF795LFF	fastq	reads	ENCSR369BHC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC8-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF206LFO		1778768828	Michael Snyder, Stanford	9e1645cb49a556ed05f4e04d890e749b		https://www.encodeproject.org/files/ENCFF795LFF/@@download/ENCFF795LFF.fastq.gz		Illumina HiSeq 4000	/files/ENCFF297OZN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF206LFO	fastq	reads	ENCSR369BHC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC8-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF795LFF		2094340732	Michael Snyder, Stanford	46f5acc0feddc54fc4b93356f8c56fa7		https://www.encodeproject.org/files/ENCFF206LFO/@@download/ENCFF206LFO.fastq.gz		Illumina HiSeq 4000	/files/ENCFF568AEP/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF171RLM	fastq	reads	ENCSR369BHC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				HDAC8-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF418ETD		3164409535	Michael Snyder, Stanford	08393ecd955d88d730446ad722d17a64		https://www.encodeproject.org/files/ENCFF171RLM/@@download/ENCFF171RLM.fastq.gz		Illumina HiSeq 4000	/files/ENCFF586CLX/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF038WOK	fastq	reads	ENCSR126GEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMARCA4-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF272OIV		2400288919	Michael Snyder, Stanford	c4d220c1e601605f034146d404d1346c		https://www.encodeproject.org/files/ENCFF038WOK/@@download/ENCFF038WOK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF272OIV	fastq	reads	ENCSR126GEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMARCA4-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF038WOK		2616601879	Michael Snyder, Stanford	5a1d9550987c06e105394cf18e30e830		https://www.encodeproject.org/files/ENCFF272OIV/@@download/ENCFF272OIV.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF697UUI	fastq	reads	ENCSR126GEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMARCA4-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF555SFA		3164010859	Michael Snyder, Stanford	d6097e53ac0078da618947c2ac5c1895		https://www.encodeproject.org/files/ENCFF697UUI/@@download/ENCFF697UUI.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF555SFA	fastq	reads	ENCSR126GEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMARCA4-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF697UUI		3424151999	Michael Snyder, Stanford	4a35faa37afee4df39d4a52a46f8cb42		https://www.encodeproject.org/files/ENCFF555SFA/@@download/ENCFF555SFA.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF475SNT	fastq	reads	ENCSR039VEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				NONO-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	1	ENCFF214BYK		2370444380	Michael Snyder, Stanford	9d60155f0f36609ff86ab7d4e0acb3fe		https://www.encodeproject.org/files/ENCFF475SNT/@@download/ENCFF475SNT.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF708CZV	fastq	reads	ENCSR039VEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				NONO-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	1	ENCFF471EAL		2441400350	Michael Snyder, Stanford	52f60bceccd3f79077feaa02f079d3ae		https://www.encodeproject.org/files/ENCFF708CZV/@@download/ENCFF708CZV.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF214BYK	fastq	reads	ENCSR039VEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				NONO-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	2	ENCFF475SNT		2742917029	Michael Snyder, Stanford	e7ffb2eab0bc064ec1d7d0afc2dca769		https://www.encodeproject.org/files/ENCFF214BYK/@@download/ENCFF214BYK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF471EAL	fastq	reads	ENCSR039VEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				NONO-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	2	ENCFF708CZV		2894807464	Michael Snyder, Stanford	9e681bbc6c1a3543024a0e74d9593a33		https://www.encodeproject.org/files/ENCFF471EAL/@@download/ENCFF471EAL.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF164ERO	fastq	reads	ENCSR039VEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				NONO-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF069QZP		1876294909	Michael Snyder, Stanford	289d3aacee4c25b3df5f2f434cbc9e90		https://www.encodeproject.org/files/ENCFF164ERO/@@download/ENCFF164ERO.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF069QZP	fastq	reads	ENCSR039VEQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				NONO-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF164ERO		2199472908	Michael Snyder, Stanford	64e3c248c19c851810ba465d40adba64		https://www.encodeproject.org/files/ENCFF069QZP/@@download/ENCFF069QZP.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF900SXQ	fastq	reads	ENCSR862UHT	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				DLX1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF359NHT		3043538576	Michael Snyder, Stanford	0b367f67eb4c2a7f7cbd4f1d7be37fa3		https://www.encodeproject.org/files/ENCFF900SXQ/@@download/ENCFF900SXQ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF359NHT	fastq	reads	ENCSR862UHT	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				DLX1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF900SXQ		3625413269	Michael Snyder, Stanford	e043f9e6ad4f079a5cbf4a9baa072c78		https://www.encodeproject.org/files/ENCFF359NHT/@@download/ENCFF359NHT.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF706BMS	fastq	reads	ENCSR862UHT	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				DLX1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF217WNS		1668660960	Michael Snyder, Stanford	5c137d941a0745e3c26a3090b5237456		https://www.encodeproject.org/files/ENCFF706BMS/@@download/ENCFF706BMS.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF217WNS	fastq	reads	ENCSR862UHT	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				DLX1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF706BMS		1960084619	Michael Snyder, Stanford	2490216f9e9a4b865ebc415fa84fd39d		https://www.encodeproject.org/files/ENCFF217WNS/@@download/ENCFF217WNS.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF613DGE	fastq	reads	ENCSR608ORR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	RNA					False	2017-11-20	ENCODE				1	1	101		paired-ended	1	ENCFF324KDR		3061057715	Michael Snyder, Stanford	a3e592c991b5ddd652eb09d9b96819fd		https://www.encodeproject.org/files/ENCFF613DGE/@@download/ENCFF613DGE.fastq.gz		Illumina HiSeq 4000	/files/ENCFF297OZN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF324KDR	fastq	reads	ENCSR608ORR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	RNA					False	2017-11-20	ENCODE				1	1	101		paired-ended	2	ENCFF613DGE		3725042522	Michael Snyder, Stanford	ba5b509fef828a36718700312b7d36fa		https://www.encodeproject.org/files/ENCFF324KDR/@@download/ENCFF324KDR.fastq.gz		Illumina HiSeq 4000	/files/ENCFF568AEP/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF298UYF	fastq	reads	ENCSR608ORR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	RNA					False	2017-11-20	ENCODE				2	1	101		paired-ended	1	ENCFF351LRZ		2169124937	Michael Snyder, Stanford	cb2a6710c5bf28e78ec0713dbb1c83bd		https://www.encodeproject.org/files/ENCFF298UYF/@@download/ENCFF298UYF.fastq.gz		Illumina HiSeq 4000	/files/ENCFF883YZS/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF351LRZ	fastq	reads	ENCSR608ORR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	RNA					False	2017-11-20	ENCODE				2	1	101		paired-ended	2	ENCFF298UYF		2480113690	Michael Snyder, Stanford	8fee5768b74da78c28f99ae68823c05e		https://www.encodeproject.org/files/ENCFF351LRZ/@@download/ENCFF351LRZ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF586CLX/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF266DHJ	fastq	reads	ENCSR123IMQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF3-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF286QWY		1768987940	Michael Snyder, Stanford	b84ee22546b69991a517ca795378f579		https://www.encodeproject.org/files/ENCFF266DHJ/@@download/ENCFF266DHJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF286QWY	fastq	reads	ENCSR123IMQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF3-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF266DHJ		1881206048	Michael Snyder, Stanford	eaefa6a340d4d32011f97ffdcf1efecd		https://www.encodeproject.org/files/ENCFF286QWY/@@download/ENCFF286QWY.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF925SXN	fastq	reads	ENCSR123IMQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF3-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF984UFR		1875358713	Michael Snyder, Stanford	f9f3407e03bd49949bfcff42ab6abd44		https://www.encodeproject.org/files/ENCFF925SXN/@@download/ENCFF925SXN.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF984UFR	fastq	reads	ENCSR123IMQ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF3-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF925SXN		2267562748	Michael Snyder, Stanford	4e2e8fef0bef236fa3ad8261e1fccdc8		https://www.encodeproject.org/files/ENCFF984UFR/@@download/ENCFF984UFR.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF246HOO	fastq	reads	ENCSR024HAR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				STAT6-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF015QCP		3053340503	Michael Snyder, Stanford	90c8020c9f806c2113a26b8b0ccaf524		https://www.encodeproject.org/files/ENCFF246HOO/@@download/ENCFF246HOO.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF211BXJ	fastq	reads	ENCSR024HAR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				STAT6-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF288HNF		2053680045	Michael Snyder, Stanford	e7375bf6f0c367128a829c88540b1ab0		https://www.encodeproject.org/files/ENCFF211BXJ/@@download/ENCFF211BXJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF288HNF	fastq	reads	ENCSR024HAR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				STAT6-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF211BXJ		1667792601	Michael Snyder, Stanford	941d03fbbf90895bb6cb27d43a54141c		https://www.encodeproject.org/files/ENCFF288HNF/@@download/ENCFF288HNF.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF015QCP	fastq	reads	ENCSR024HAR	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				STAT6-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF246HOO		2453550607	Michael Snyder, Stanford	b5e0c16226e8de18af83cbf8a08dd1a0		https://www.encodeproject.org/files/ENCFF015QCP/@@download/ENCFF015QCP.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF118VTY	fastq	reads	ENCSR399QAP	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TLE2-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF239BGU		3874134163	Michael Snyder, Stanford	8cb4adfd6ddc33908278c37b5f203067		https://www.encodeproject.org/files/ENCFF118VTY/@@download/ENCFF118VTY.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF239BGU	fastq	reads	ENCSR399QAP	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TLE2-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF118VTY		3247004587	Michael Snyder, Stanford	71b29fb40aad0575cad4bd8cf4b93157		https://www.encodeproject.org/files/ENCFF239BGU/@@download/ENCFF239BGU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF479JKU	fastq	reads	ENCSR399QAP	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TLE2-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF267AJJ		2704618394	Michael Snyder, Stanford	f57784066207bdeba9701803387ae3ba		https://www.encodeproject.org/files/ENCFF479JKU/@@download/ENCFF479JKU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF267AJJ	fastq	reads	ENCSR399QAP	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TLE2-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF479JKU		3220908582	Michael Snyder, Stanford	43ab0f120738f6696cc883a51125fb04		https://www.encodeproject.org/files/ENCFF267AJJ/@@download/ENCFF267AJJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF217AVB	fastq	reads	ENCSR591QYK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM28-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF521QXQ		2047740196	Michael Snyder, Stanford	7dcd3263f9c4532c33b319e37bc5a88b		https://www.encodeproject.org/files/ENCFF217AVB/@@download/ENCFF217AVB.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF334RTV	fastq	reads	ENCSR591QYK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM28-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF369HYZ		2134554274	Michael Snyder, Stanford	994428412c4a58ee3f09a99b67853a38		https://www.encodeproject.org/files/ENCFF334RTV/@@download/ENCFF334RTV.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF521QXQ	fastq	reads	ENCSR591QYK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM28-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF217AVB		2284828680	Michael Snyder, Stanford	e9edf948ff72fecca9cd4a5323f8470c		https://www.encodeproject.org/files/ENCFF521QXQ/@@download/ENCFF521QXQ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF369HYZ	fastq	reads	ENCSR591QYK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM28-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF334RTV		2381097237	Michael Snyder, Stanford	677c1969c32b7d9834587ad41d9a95dd		https://www.encodeproject.org/files/ENCFF369HYZ/@@download/ENCFF369HYZ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF779EXF	fastq	reads	ENCSR359VJC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				HOXB4-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF320RNF		1863327086	Michael Snyder, Stanford	9722f99f1277acf22317283704f45181		https://www.encodeproject.org/files/ENCFF779EXF/@@download/ENCFF779EXF.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
